region_name,sub_region_name,intermediate_region_name,region,m49_code,iso3c
Asia,Western Asia,Western Asia,Saudi Arabia,682,SAU
Asia,Western Asia,Western Asia,State of Palestine,275,PSE
Asia,Western Asia,Western Asia,Syrian Arab Republic,760,SYR
Asia,Western Asia,Western Asia,Turkey,792,TUR
Asia,Western Asia,Western Asia,United Arab Emirates,784,ARE
Asia,Western Asia,Western Asia,Yemen,887,YEM
Europe,Eastern Europe,Eastern Europe,Bulgaria,100,BGR
Europe,Eastern Europe,Eastern Europe,Poland,616,POL
Europe,Eastern Europe,Eastern Europe,Romania,642,ROU
Europe,Eastern Europe,Eastern Europe,Russian Federation,643,RUS
Europe,Eastern Europe,Eastern Europe,Ukraine,804,UKR
Europe,Northern Europe,Northern Europe,Åland Islands,248,ALA
Europe,Northern Europe,Northern Europe,Guernsey,831,GGY
Europe,Northern Europe,Northern Europe,Jersey,832,JEY
Europe,Northern Europe,Northern Europe,Sark,680,NA
Europe,Northern Europe,Northern Europe,Denmark,208,DNK
Europe,Northern Europe,Northern Europe,Estonia,233,EST
Europe,Northern Europe,Northern Europe,Faroe Islands,234,FRO
Europe,Northern Europe,Northern Europe,Finland,246,FIN
Europe,Northern Europe,Northern Europe,Iceland,352,ISL
Europe,Northern Europe,Northern Europe,Ireland,372,IRL
Europe,Northern Europe,Northern Europe,Isle of Man,833,IMN
Europe,Northern Europe,Northern Europe,Latvia,428,LVA
Europe,Northern Europe,Northern Europe,Lithuania,440,LTU
Europe,Northern Europe,Northern Europe,Norway,578,NOR
Europe,Northern Europe,Northern Europe,Svalbard and Jan Mayen Islands,744,SJM
Europe,Northern Europe,Northern Europe,Sweden,752,SWE
Europe,Northern Europe,Northern Europe,United Kingdom of Great Britain and Northern Ireland,826,GBR
Europe,Southern Europe,Southern Europe,Albania,8,ALB
Europe,Southern Europe,Southern Europe,Bosnia and Herzegovina,70,BIH
Europe,Southern Europe,Southern Europe,Croatia,191,HRV
Europe,Southern Europe,Southern Europe,Gibraltar,292,GIB
Europe,Southern Europe,Southern Europe,Greece,300,GRC
Europe,Southern Europe,Southern Europe,Holy See,336,VAT
Europe,Southern Europe,Southern Europe,Italy,380,ITA
Europe,Southern Europe,Southern Europe,Malta,470,MLT
Europe,Southern Europe,Southern Europe,Montenegro,499,MNE
Europe,Southern Europe,Southern Europe,Portugal,620,PRT
Europe,Southern Europe,Southern Europe,Slovenia,705,SVN
Europe,Southern Europe,Southern Europe,Spain,724,ESP
Europe,Western Europe,Western Europe,Belgium,56,BEL
Europe,Western Europe,Western Europe,France,250,FRA
Europe,Western Europe,Western Europe,Germany,276,DEU
Europe,Western Europe,Western Europe,Monaco,492,MCO
Europe,Western Europe,Western Europe,Netherlands,528,NLD
Oceania,Australia and New Zealand,Australia and New Zealand,Australia,36,AUS
Oceania,Australia and New Zealand,Australia and New Zealand,Christmas Island,162,CXR
Oceania,Australia and New Zealand,Australia and New Zealand,Cocos (Keeling) Islands,166,CCK
Oceania,Australia and New Zealand,Australia and New Zealand,Heard Island and McDonald Islands,334,HMD
Oceania,Australia and New Zealand,Australia and New Zealand,New Zealand,554,NZL
Oceania,Australia and New Zealand,Australia and New Zealand,Norfolk Island,574,NFK
Oceania,Melanesia,Melanesia,Fiji,242,FJI
Oceania,Melanesia,Melanesia,New Caledonia,540,NCL
Oceania,Melanesia,Melanesia,Papua New Guinea,598,PNG
Oceania,Melanesia,Melanesia,Solomon Islands,90,SLB
Oceania,Melanesia,Melanesia,Vanuatu,548,VUT
Oceania,Micronesia,Micronesia,Northern Mariana Islands and Guam,316,GUM
Oceania,Micronesia,Micronesia,Kiribati,296,KIR
Oceania,Micronesia,Micronesia,Marshall Islands,584,MHL
Oceania,Micronesia,Micronesia,Micronesia (Federated States of),583,FSM
Oceania,Micronesia,Micronesia,Nauru,520,NRU
Oceania,Micronesia,Micronesia,Northern Mariana Islands and Guam,580,MNP
Oceania,Micronesia,Micronesia,Palau,585,PLW
Oceania,Micronesia,Micronesia,United States Minor Outlying Islands,581,UMI
Oceania,Polynesia,Polynesia,American Samoa,16,ASM
Oceania,Polynesia,Polynesia,Cook Islands,184,COK
Oceania,Polynesia,Polynesia,French Polynesia,258,PYF
Oceania,Polynesia,Polynesia,Niue,570,NIU
Oceania,Polynesia,Polynesia,Pitcairn,612,PCN
Oceania,Polynesia,Polynesia,Samoa,882,WSM
Oceania,Polynesia,Polynesia,Tokelau,772,TKL
Oceania,Polynesia,Polynesia,Tonga,776,TON
Oceania,Polynesia,Polynesia,Tuvalu,798,TUV
Oceania,Polynesia,Polynesia,Wallis and Futuna Islands,876,WLF
Africa,Northern Africa,Macronesia,Madeira Island,NA,XMI
Asia,Eastern Asia,Eastern Asia,Taiwan,NA,TWN
