iucn_sid,dimension,text,codes,sciname,taxon
39774,threats," &#160;The continued high demand and price for this species in the Hong Kong live reef fish market will likely encourage increased fishing effort and overexploitation. Once Indonesian populations are no longer viable for fishing, effort is likely to expand to target populations in other parts of its range such as southeast Asia countries.&#160;An illegal trade of  C. altivelis  (and other live reef food fishes) exists from the Philippines through Malaysia (Cabanban pers. comm. 2016). Much of the live fish imports into Hong Kong on live fish carrier vessels (as opposed to by air) is illegal as it is not declared to Hong Kong Customs (ADM Capital Foundation Report in prep March 2017). ",5.4.2,Cromileptes altivelis,groupers
41008,threats,"  The main threats to  Hippocampus comes  are direct exploitation, habitat destruction and incidental catch. The species is exploited to supply the traditional medicine, curio and aquarium trades (Perry  et al.  2010, Lim  et al.  2011). the majority of which is sourced from incidental bycatch in commercial and artisanal fishers throughout its range in Malaysia and Thailand (Choo and Liew 2003, Perry  et al.  2010), Vietnam (Giles  et al.  2006) and the Philippines (Vincent  et al.  2007).      Pressures on  H. comes  in the central Philippines is particularly high with target capture, destructive fishing and macroalgal farming (Morgan and Vincent 2007). The reefs that comprise a major habitat for this species are threatened by land-based activities such as coastal development, siltation and pollution (Burke  et al.  2002). Destructive fisheries such as blast fisheries and cyanide fishing occur throughout the species’ range, causing coral and seagrass damage (Gomez 1997, Short  et al.  2011), These habitats are vital to the ecology of  H. comes  (Morgan and Vincent 2007) and the decline in suitable habitats throughout the species range raises the probability of decline in population in addition to other threats. Extremely low H. comes densities were reported in areas with poor benthic quality suggesting that activities which reduce the variety of benthic forms may negatively affect the species (Marcus  et al.  2007).      ","5.4.2, 5.4.4",Hippocampus comes,syngnathiformes
41671,threats,"As noted earlier, Harp Seals have been harvested for thousands of years but currently the population is large and the number of animals harvested is declining.  Reduced availability of potential prey, especially Polar Cod, Capelin and Herring, is a threat to Harp Seals. Several Harp Seal “invasions” took place in recent decades along the north coast of Norway. By-catch mortality in nets during those events was estimated to be as high as 100,000 animals in 1987 and 21,474 in 1988 (Haug  et al.  1991). The reason for these emigrations out of their normal range within the Barents and Greenland Seas seems to have been a collapse of Herring and Capelin stocks due to a combination of overfishing and shifting oceanographic conditions (low temperatures and salinity, and extensive ice cover; Haug  et al.  1991, Woodley and Lavigne 1991). More recently, declining Krill abundance has been correlated with declines in both pup production and body condition of Harp Seals in the Barents Sea region, which are likely related to reductions in sea ice in this area (Øigård  et al.  2013).   A small tourist industry that visits the whelping patches in the Gulf of St. Lawrence is not thought to pose any risk to the Seals; it uses a rotational mode of operation such that individual Seals are not visited repeatedly (Kovacs and Innes 1990).   Oil spills in the Northwest Atlantic off the east coast of Canada remain a threat to Seals. There is a concern about the impacts of tanker traffic, particularly in places like Lancaster Sound in the eastern Canadian Arctic, which is an important Harp Seal summering area (Reijinders  et al.  1993). The discharge from a ruptured tank on the shore of New Brunswick, Canada in March–April 1969 led to 10,000 to 15,000 Seals being heavily coated with oil. The high number of dead pups washing ashore after this event was evidence of the lethal effects of the oil (St. Aubin 1990). Oil development in the Barents Sea is ongoing and poses a future threat to Harp Seals in the White Sea and West Ice stocks.   Harp Seals have been found to carry significant loads of contaminants including metals, DDT and PCBs (Ronald  et al.  1984ab). Organochlorines are still present in their blood, despite DDT levels in the environment (and PCBs to a lesser extent) declining from the early 1970s to the 1980s (Addison  et al.  1984) and further in the 1990s and 2000s (Muir and de Wit 2010).   Phocine distemper virus (PDV) was first found in Harp Seals from the West Ice off Jan Mayen in 1987 and 1989. It is widespread in Harp Seals, but only shows up as antibodies; it is not known if there are significant health effects or mortality from PDV infection in this species (Daoust  et al.  1993, Duignan  et al.  1997). Harp Seals might have been the carriers responsible for the Harbour Seal PDV epidemic in Europe in 1988 (Markussen and Have 1992). PDV also appeared Harp Seals in the Gulf of St. Lawrence in 1991, but not in epidemic proportions (Daoust  et al.  1993).   Global climate warming is of notable concern for this species. There have already been major reductions in the extent and seasonal duration of sea ice cover in the Northern Hemisphere, creating a threat to many species of ice-associated marine mammals (Tynan and DeMaster 1997, Learmonth  et al.  2006, Kovacs and Lydersen 2008, Laidre  et al.  2008,&#160;Laidre&#160; et al. &#160;2015). Pinnipeds such as the Harp Seal that are dependent on sea ice for pupping, moulting and resting are likely to be heavily impacted by future changes in their sea ice habitats (Johnston  et al.  2005, Friedlaender  et al.  2007, Kovacs  et al.  2011,&#160;Kovacs&#160; et al.&#160; 2012). The high variability in pup production numbers in Canada, as well as the condition declines in the Northeast Atlantic, are thought to be linked to changing oceanographic and sea ice conditions. The degree of plasticity Harp Seals might show with respect to temporal or spatial shifts in breeding times and areas is not known.","5.4.2, 5.4.4",Pagophilus groenlandicus,mammals
41672,threats,"Ringed Seals carry loads of organochlorine and heavy metal contaminants from industry and agriculture that have been implicated in uterine pathology in Baltic Seals (Bergman and Olsson 1986), and high concentrations of mercury in Saimaa Seals is thought to have reduced pup production in the 1960s and 1970s (Sipilä and Hyvärinen 1998, Kostamo  et al . 2002). However, following restrictions on the use and release of persistent organic pollutants (POPs) into the environment, contaminant levels are dropping rapidly in the Baltic (Kostamo  et al . 2002). The same is true with regards to POPs in Arctic populations (Wolkers  et al . 2008). Oil contamination poses poorly known risks to Ringed Seals. The greatest impacts would likely result if spills occurred during the pupping season or if food resources were negatively affected (Smith 1987, Reeves 1998).  Manipulation of water levels, recreational snow machine operation, net-fishing, boating, tourism, and development of cottages on the shoreline have been noted as threats to the Ringed Seals in Lake Saimaa, and industrial pollution, net fishing and poaching, as well as disturbance of on-shore summer haulout groups have been highlighted as threats for the Ladoga Seals (Sipilä and Hyvärinen 1998, Agafonova  et al . 2007). Predation by Red Fox, Wolves, feral and domestic Dogs, and even birds of prey, are also risks for these lake Seals (e.g., Kunnasranta  et al . 2001). By-catch in fisheries and other negative impacts associated with fisheries conflicts seem at present to be the major threat to Saimaa and Ladoga Seals (Kokko  et al . 1998, Sipilä and Hyvärinen 1998, Verevkin 2002, Sipilä 2003, Agafonova  et al . 2007).  Global warming may pose the greatest threat to Ringed Seals of all subspecies if it leads to large losses of the stable ice habitat required for pupping and rearing their young (Tynan and DeMaster 1997, Learmonth  et al . 2006, Kovacs and Lydersen 2008, Laidre  et al . 2008). Early break-up of the ice results in poor condition of pups and higher mortality rates (Smith and Harwood 2001). Associated changes in precipitation and weather patterns could also negatively affect Ringed Seal populations if there is insufficient snow cover to protect pups in lairs in the spring (Stirling and Derocher 1993, Ferguson&#160; et al . 2005, Kelly&#160; et al . 2010, Hezel&#160; et al . 2012, Iacozza and Ferguson 2014). Pups born outside lairs have a very low chance of survival; the pups are so small that even large Gulls can be predators if they are exposed (Lydersen and Smith 1989). Declining trends in reproduction and survival of pups have already been noted in some regions that have been attributed to earlier break-up of the sea ice over recent decades and concomitant changes in the marine ecosystem (Ferguson  et al . 2005, Stirling 2005). Reductions in arctic sea ice could have quite dramatic effects via prey availability if Polar and Arctic Cod populations are negatively impacted.    Reductions in sea ice cover will likely lead to increased human activity in arctic regions in the form of shipping and resource extraction industries, with associated increased threat of marine accidents and pollution discharge (Pagnan 2000). An increase in human-created noise in the arctic environment could cause marine mammals, including Ringed Seals, to abandon areas (Tynan and DeMaster 1997) although studies to date suggest relatively minor impacts of development (Davis&#160; et al .&#160;1991; Moulton&#160; et al . 2002, 2003, 2005; Blackwell&#160; et al .&#160;2004). However, over-flights by aircraft certainly cause disturbance to Ringed Seals if flights occur by helicopter at less than 1,500 m distance or by fixed-winged aircraft at closer than 500 m (Born&#160; et al .&#160;1999).","5.4.2, 5.4.4",Pusa hispida,mammals
41673,threats,"Baltic Ringed Seals carry loads of organochlorine and heavy metal contaminants from human industry and agriculture that have been implicated in uterine pathology (Bergman and Olsson 1986). In samples collected in the early 1970s only 17% of Ringed Seal females were believed to be fertile (Helle 1980). Uterine occlusions were evident in a majority of studies which had severe implications since occluded uterine horns are dysfunctional for the rest of the animal's life (Bergman and Olsson 1986). However, following restrictions on the use and release of persistent organic pollutants into the environment, levels are dropping rapidly in the Baltic (Kostamo  et al.  2002). Nevertheless, fertility rates of females are about 68% in the Bothnian Bay (HELCOM 2015), which is below rates found in some Arctic populations (Reeves 1998). No data on pregnancy are available from the southern Baltic subpopulations.  Up to the end of the 1990s, Ringed Seal pups died in drift nets set for Salmon, but this threat ceased after drift nets were banned in the Baltic. Ringed Seals are still caught in fyke nets, but the magnitude of this source of mortality is unknown (Härkönen pers. comm.).  Oil contamination poses poorly known risks to Ringed Seal populations. The greatest impacts would likely result if spills occurred during the pupping season or if food resources were negatively effected (Smith 1987, Reeves 1998).  Global warming may pose the greatest threat to Ringed Seals of all subspecies if it leads to large losses of the stable ice habitat that they require for pupping and rearing their young (Tynan and DeMaster 1997, Learmonth  et al.  2006, Kovacs and Lydersen 2008, Laidre  et al.  2008). Early break-up of the ice results in poor condition of pups and higher mortality rates (Smith and Harwood 2001). Associated changes in precipitation and weather patterns could also negatively affect Ringed Seal populations if there is insufficient snow cover to protect pups in lairs in the spring (Stirling and Derocher 1993, Ferguson  et al.  2005). Pups born outside lairs have a very low chance of survival; the pups are so small that even large gulls can be predators if they are exposed (Lydersen and Smith 1989). Declining trends in reproduction and survival of pups have already been noted in some regions that have been attributed to earlier break-up of the sea ice in recent decades and concomitant changes in the marine ecosystem (Ferguson  et al.  2005, Stirling 2005). Climate change impacts could be particularly acute for Ringed Seals living in restricted habitats such as the Baltic Sea (Meier  et al.  2004). Using climatological models forecasting changes in winter temperature up to year 2100, Sundqvist  et al.  (2012) showed that diminishing ice fields would likely contribute to extirpation of the southern Baltic Ringed Seal subpopulation in the Gulf of Riga and reduced growth rates in other subpopulations. This was mainly because of increasing frequencies of winters with very poor ice, which also form later and melt earlier.",5.4.4,Pusa hispida ssp. botnica,mammals
41792,threats,"Regularly taken in inshore fisheries off Pakistan, India and Thailand, and utilized for human food, and is likely to be threatened by overfishing, destructive fishing practices and habitat modification, including the damage and destruction of coral reefs throughout much of its range. This species is kept in public aquaria in the United States (Compagno 2001) but apparently rare in the aquarium trade (Michael 2001).",5.4.4,Chiloscyllium griseum,sharks_and_rays
41816,threats,Known to be caught in inshore and offshore artisanal fisheries throughout its range and retained. Caught in drifting and bottom gillnets and on longlines. Meat is utilized for human consumption and offal is processed into fishmeal (Compagno in prep). Fins are utilized but of lower value due to their small size (White  et al . 2006).,5.4.4,Hemigaleus microstoma,sharks_and_rays
44166,threats,"The threat to Small-clawed Otter is similar to that of Smooth-coated and Eurasian otters. Throughout Asia the potential threat to its continued survival is destruction of its habitats due to changing land use pattern in the form of developmental activities. In many parts of Asia, the habitats have been reduced due to reclamation of peat swamp forests and mangroves, aquaculture activities along the intertidal wetlands and loss of hill streams. In India the primary threats are loss of habitats due to tea and coffee plantations along the hills, in the coastal areas loss of mangroves due to aquaculture and increased human settlements and siltation of smaller hill streams due to deforestation. Increased influx of pesticides into the streams from the plantations reduces the quality of the habitats. The threat posed by poaching is still very significant in many parts of India, and SE Asia and will certainly count as a major threat that needs to be constantly monitored. Poaching for pelt has been reported from across the Western Ghats in south India (Prakash  et al . 2012).  Another important threat to Asian Small-clawed Otter is reduction in prey biomass due to over-exploitation, which make its remaining habitats unsustainable. Pollution is probably the single most important factor causing decline in the population of many fish species (Dehadrai and Ponniah 1997). Reduction in prey biomass affects otter population, and organochloric and heavy metal contamination interferes with their normal physiology leading to the decline in population. The threats to Small-clawed Otter is prominent in its western range so much so that since last 60 years its range has shrunk considerable moving west to east from Himachal Pradesh to Assam (Hussain  et al . 2011).",5.4.4,Aonyx cinereus,mammals
44168,threats,NA,"5.4.2, 5.4.4",Squalus acanthias Northeast Atlantic subpopulation,sharks_and_rays
44169,threats,NA,"5.4.2, 5.4.4",Squalus acanthias Northwest Atlantic subpopulation,sharks_and_rays
44514,threats,"Sporadic bycatch in the Chilean deep sea shrimp ( Heterocarpus reedi ) fishery off Northern and Central Chile (from 25º07'41"" to 34º18'43""S and 259-500 m) in small numbers although more abundantly than  Centroscyllium granulatum  (González 2001, Acuña and Villaroel 2002). Incidentally captured in sablefish traps in California, but it is not utilized (Compagno in preparation a).",5.4.4,Centroscyllium nigrum,sharks_and_rays
44567,threats,"Sporadic bycatch in the Chilean deep sea shrimp fishery, in small numbers (Acuña and Villaroel 2002), at depths of 300-500 m.",5.4.4,Centroscyllium granulatum,sharks_and_rays
44571,threats,"In Peru, this species is of little importance to fisheries, with an average catch of 267 metric tons (mt) per year taken off Peru between 1964 and 1999, and no long-term trend apparent. Landings were very unsteady during this period. The catch ranged from 55 mt per year (in 1992) to 1,615 mt per year (in 1986). There were two peaks, one in 1982 (1,126 mt) and the other in 1986. It is not clear why these peaks were followed by abrupt falls in 1982-83 and 1986-87, respectively, but this may be related to El Niño events.    Information is not available from other countries.",5.4.4,Squatina armata,sharks_and_rays
44675,threats,Fishing is not known to be driving global-level declines at this time.,5.4.2,Hyporthodus quernus,groupers
44680,threats,Overfishing is the main threat.,5.4.2,Epinephelus cifuentesi Galápagos Islands subpopulation,groupers
60161,threats,This species is reportedly caught as bycatch in artisanal and industrial fisheries (hooking and netting). This species is also taken as a subsistence food source.    Intrinsic factors probably also represent a threat for this species as to most other elasmobranchs species (Camhi  et al . 1998).,5.4.4,Styracura schmardae,sharks_and_rays
60222,threats,"The majority of the distribution of the Whitespotted Bamboo Shark is under substantial, generally unregulated and unmanaged fishing pressure. The species is landed and utilised for human consumption in nearly all countries within its range. The species is known to be taken regularly in India, Thailand and China (Compagno 2001) and is landed in Borneo (Manjaji 2002), Philippines (Compagno  et al . 2005), Taiwan (both on the mainland and the Penghu Islands) (P. Kyne pers. obs., D. Ebert pers. comm.) and irregularly in Indonesia (W. White pers. comm.). It is also prized for the aquarium trade as it is hardy in captivity and known to survive for long periods in aquaria (Michael 1993, Compagno 2001).    Pressure on coral reef systems is high over much of the species' range with the amount of available habitat being reduced in recent history due to the degradation/destruction of coral reefs through such practices as dynamite fishing (e.g., Indonesia and elsewhere) and terrestrial runoff (e.g., through logging in Philippines).    Given human population increases in the Asian region and continued and increasing exploitation of marine resources the conservation status of this coral reef species is of concern.",5.4.4,Chiloscyllium plagiosum,sharks_and_rays
60240,threats,"None known. Of no importance for fisheries because of its extremely small size. Probably encountered only very infrequently by fisheries.     Utilisation   None known, probably discarded (probably too small to be utilised).",5.4.4,Etmopterus perryi,sharks_and_rays
60243,threats,"Not targeted. It is known to be irregularly taken as discarded bycatch in some deepwater demersal fisheries.     Utilisation   None known, probably discarded (probably too small to be utilised).",5.4.4,Etmopterus robinsi,sharks_and_rays
60245,threats,"Not targeted. Is irregularly taken as discarded bycatch in some deepwater demersal fisheries.     Utilisation   None known, probably discarded (probably too small to be utilised).",5.4.4,Etmopterus virens,sharks_and_rays
60246,threats,"Not targeted. It is known to be irregularly taken as discarded bycatch in some deepwater demersal fisheries.     Utilisation   None known, probably discarded (probably too small to be utilised).",5.4.4,Etmopterus schultzi,sharks_and_rays
61400,threats,"Bycatch in the deep sea crustacean fishery for the red squat lobster  Pleuroncodes monodon , the yellow squat lobster  Cervimunida johni  and especially the deep sea shrimp  Heterocarpus reedi  off Northern and Central Chile (from 25°05' to 35°12' S and 200-498 m) (González 2001, Acuña and Villaroel 2002). Bycatch in the ling  Genypterus blacodes  and Patagonian toothfish  Dissostichus eleginoides  deepsea fisheries off southern Chile (Lamilla, unpublished data). The species is discarded and there is no data available on trends in bycatch. There is no information on bycatch of this species in Peruvian fisheries.",5.4.4,Bythaelurus canescens,sharks_and_rays
61409,threats,NA,"5.4.2, 5.4.4",Squalus acanthias Australasia subpopulation,sharks_and_rays
61410,threats,NA,"5.4.2, 5.4.4",Squalus acanthias Black Sea subpopulation,sharks_and_rays
61411,threats,NA,"5.4.2, 5.4.4",Squalus acanthias Mediterranean subpopulation,sharks_and_rays
61414,threats,NA,"5.4.2, 5.4.4",Squalus acanthias South America subpopulation,sharks_and_rays
61415,threats,NA,"5.4.2, 5.4.4",Squalus acanthias Southern Africa subpopulation,sharks_and_rays
61416,threats,"Mainly caught in the northern Gulf of Mexico (FAO 2002, Rodriguez 1996 ) although separate statistics are not reported for this species. Taken as by-catch in the San Andres Archipelago industrial fishery (Caldas 2002) and Panamanian artisanal fishery (Monzini 2004).  Possible threat from a potential increase of deep sea fishery.",5.4.4,Squalus cubensis,sharks_and_rays
61442,threats," Availability of prey likely has a strong influence on the Cook Inlet Beluga subpopulation (Moore  et al . 2000). Few data are available on prey abundance within their range except for the commercially harvested species of Pacific salmon. Speckman and Piatt (2000) speculated that availability of Beluga prey species may have changed in the lower Inlet as part of a general regime shift in the Gulf of Alaska. Local residents perceive that there was a general decline in the abundance of fish in Cook Inlet in the 1990s (Huntington 2000). A study of stable isotope ratios in individual GLGs of teeth representing the period from 1962 to 2007 found that the diet of the Cook Inlet Belugas had shifted over that period to more freshwater species (Nelson  et al . 2018). While this confirms a diet change it does not distinguish between a change in the fauna of Cook Inlet or a diet shift resulting from a change in distribution as the Cook Inlet Belugas have concentrated in the river mouths of the upper Inlet in recent years. It is possible, if not likely, that climatic warming has changed characteristics of the Cook Inlet environment and fauna in ways that affect Beluga Whales, but currently there are no data that can be used to evaluate such changes.    Shelden  et al . (2003) reviewed data on Killer Whale predation in Cook Inlet, and although they accounted for 21 Belugas killed between 1985 and 2002 the authors concluded that predation was a small contribution to overall mortality. More recent studies have concluded that predation by Killer Whales may be a significant source of mortality for Cook Inlet Belugas (Vos and Shelden 2005, Burek-Huntington  et al . 2015). Because this population is currently at a very low size, otherwise normal fluctuations in prey availability and predation may affect its ability to recover (Hobbs  et al . 2015b).&#160;&#160;    Other factors that could have an adverse effect on Cook Inlet Belugas include fishery interactions, contaminants and noise associated with oil and gas exploration and production, vessel traffic, and municipal activities such as waste management and urban runoff (Moore  et al . 2000, Norman  et al . 2015, NMFS 2003, 2016). The quality and quantity of data for describing impacts or predicting effects of such factors vary greatly. Levels of heavy metals, PCBs, and chlorinated pesticides are much lower in Cook Inlet Belugas than in other Beluga subpopulations in Alaska (Becker  et al . 2000). Observer programs and other reports indicate that current incidental take in commercial fisheries is very low (Moore  et al . 2000). The potential effects of anthropogenic noise on Cook Inlet Belugas has received substantial research effort (Lammers  et al . 2013, Castellotte  et al . 2014, 2016), however further investigation is required to quantify impacts and identify mitigation measures (Small  et al . 2017). Determining the impact of municipal discharges is difficult (Norman  et al . 2015), and data are not adequate to describe or predict the effects of an oil spill on Belugas. Nonetheless, the fact remains that Cook Inlet is no longer a remote, pristine area. Over 350,000 people live in the municipality of Anchorage and the two adjacent boroughs, and there are two large military bases in the area (NMFS 2003). An analysis by NMFS concluded that: ""A significant part of the habitat for this species has been modified by municipal, industrial, and recreational activities in Upper Cook Inlet"" (NMFS 2003). A number of other significant habitat modifications are likely to occur in the near future.    Random demographic, environmental, and genetic factors can accelerate or even cause the extinction of small populations. Catastrophic events such as mass die-offs due to stranding, disease, or acute exposure to toxic substances (e.g., oil spills) could push depleted populations of Belugas to extinction (O'Corry-Crowe and Lowry 1997, Hobbs  et al . 2015b). Mass strandings of Belugas are relatively common in the shallow tidal areas of upper Cook Inlet. Although most stranded individuals manage to swim away on the rising tide, some are known to die (Moore  et al . 2000, Burek-Huntington  et al . 2015). The viability of small populations is further compromised by the increased risk of inbreeding and the loss of genetic variability through drift, which reduces their ability to cope with disease and environmental change (Lacy 1997, O'Corry-Crowe and Lowry 1997). Estimates of genetic variation do not, at present, suggest that Cook Inlet Belugas are highly inbred or that a critical amount of genetic variation has been lost through drift (O'Corry-Crowe  et al . 1997, 2018), but this subpopulation is already in a size range where eventual loss of genetic variability is expected.",5.4.4,Delphinapterus leucas Cook Inlet subpopulation,mammals
