stressor,thresh,timescale,year
dem_nondest_lb,0.0037679243832826614,annual,2007
dem_nondest_lb,0.003861128119751811,annual,2008
dem_nondest_lb,0.004197257570922375,annual,2009
dem_nondest_lb,0.0044052875600755215,annual,2010
dem_nondest_lb,0.004027703311294317,annual,2011
dem_nondest_lb,0.004145306069403887,annual,2012
dem_nondest_lb,0.003984510898590088,annual,2013
direct_human,0.034412406384944916,annual,2003
direct_human,0.03453248739242554,annual,2004
direct_human,0.0346209816634655,annual,2005
direct_human,0.034737080335617065,annual,2006
direct_human,0.0349288247525692,annual,2007
direct_human,0.035057373344898224,annual,2008
direct_human,0.03523571789264679,annual,2009
direct_human,0.035360757261514664,annual,2010
direct_human,0.03552598878741264,annual,2011
direct_human,0.035657573491334915,annual,2012
direct_human,0.03576381877064705,annual,2013
light,0.023873720318078995,annual,2003
light,0.026312993839383125,annual,2004
light,0.020547719672322273,annual,2005
light,0.028079556301236153,annual,2006
light,0.03445032238960266,annual,2007
light,0.03206024318933487,annual,2008
light,0.029677284881472588,annual,2009
light,0.053204264491796494,annual,2010
light,0.0397612489759922,annual,2011
light,0.04717934876680374,annual,2012
light,0.04392629489302635,annual,2013
nutrient,0.060218099504709244,annual,2003
nutrient,0.061937157064676285,annual,2004
nutrient,0.0597250834107399,annual,2005
nutrient,0.059830933809280396,annual,2006
nutrient,0.061454445123672485,annual,2007
nutrient,0.060018349438905716,annual,2008
nutrient,0.05761852115392685,annual,2009
nutrient,0.06170850619673729,annual,2010
nutrient,0.061901871114969254,annual,2011
nutrient,0.060811325907707214,annual,2012
nutrient,0.059415776282548904,annual,2013
oa,0.11415094137191772,annual,2003
oa,0.11996238678693771,annual,2004
oa,0.12919645011425018,annual,2005
oa,0.13438254594802856,annual,2006
oa,0.13704070448875427,annual,2007
oa,0.14067061245441437,annual,2008
oa,0.14288491010665894,annual,2009
oa,0.1386336237192154,annual,2010
oa,0.1480228304862976,annual,2011
oa,0.14588171243667603,annual,2012
oa,0.14864377677440643,annual,2013
organic,0.0214194618165493,annual,2003
organic,0.022184602916240692,annual,2004
organic,0.023345105350017548,annual,2005
organic,0.023878129199147224,annual,2006
organic,0.024762576445937157,annual,2007
organic,0.024962814524769783,annual,2008
organic,0.02478267438709736,annual,2009
organic,0.024002155289053917,annual,2010
organic,0.02397831529378891,annual,2011
organic,0.02465435490012169,annual,2012
organic,0.025403283536434174,annual,2013
pel_hb,0.004782734904438257,annual,2003
pel_hb,0.0051886700093746185,annual,2004
pel_hb,0.005092122592031956,annual,2005
pel_hb,0.005854309536516666,annual,2006
pel_hb,0.006259337067604065,annual,2007
pel_hb,0.005849017761647701,annual,2008
pel_hb,0.006027028895914555,annual,2009
pel_hb,0.005793086253106594,annual,2010
pel_hb,0.005737586412578821,annual,2011
pel_hb,0.005858248099684715,annual,2012
pel_hb,0.006039397791028023,annual,2013
pel_lb,3.381655551493168e-4,annual,2003
pel_lb,3.6454040673561394e-4,annual,2004
pel_lb,3.7437950959429145e-4,annual,2005
pel_lb,3.615799068938941e-4,annual,2006
pel_lb,3.734762722160667e-4,annual,2007
pel_lb,3.6826604628004134e-4,annual,2008
pel_lb,3.565407532732934e-4,annual,2009
pel_lb,3.3090219949372113e-4,annual,2010
pel_lb,3.7986430106684566e-4,annual,2011
pel_lb,3.5803488572128117e-4,annual,2012
pel_lb,3.4391216468065977e-4,annual,2013
shipping,0.05650598183274269,annual,2003
shipping,0.05692370608448982,annual,2004
shipping,0.05814213678240776,annual,2005
shipping,0.059279076755046844,annual,2006
shipping,0.06120378524065018,annual,2007
shipping,0.06411704421043396,annual,2008
shipping,0.0665779709815979,annual,2009
shipping,0.07000099867582321,annual,2010
shipping,0.07231096923351288,annual,2011
shipping,0.07441636174917221,annual,2012
shipping,0.07534127682447433,annual,2013
slr,0.054388854652643204,annual,2003
slr,0.05549950152635574,annual,2004
slr,0.05659908056259155,annual,2005
slr,0.06185808405280113,annual,2006
slr,0.06043003872036934,annual,2007
slr,0.07257914543151855,annual,2008
slr,0.08044259250164032,annual,2009
slr,0.08841332793235779,annual,2010
slr,0.09082930535078049,annual,2011
slr,0.10227539390325546,annual,2012
slr,0.11068025231361389,annual,2013
sst,0.047171011567115784,annual,2003
sst,0.05206611752510071,annual,2004
sst,0.058105532079935074,annual,2005
sst,0.060648445039987564,annual,2006
sst,0.06560712307691574,annual,2007
sst,0.06884933263063431,annual,2008
sst,0.07495231926441193,annual,2009
sst,0.0923076942563057,annual,2010
sst,0.1024157702922821,annual,2011
sst,0.10330578684806824,annual,2012
sst,0.1066751480102539,annual,2013
